timestamp	exp_id	config_name	isf_source	kernel	duration_model	n_patients	n_events	pop_obs_severe	pop_cf_severe	aid_protection_severe	mean_duration_min	mean_extra_drop_mgdl	verdict	notes
2026-04-25T02:13:23.860802+00:00	EXP-3000	baseline_pop_inst_linear	population_isf50	instantaneous	linear	31	3673	0.3624	0.9466	0.5843	60.00	44.56	baseline_match	matches EXP-2889 within 2pp (obs drift 0.000, cf drift 0.000)
2026-04-25T02:13:56.167456+00:00	EXP-3001	per_patient_isf_inst_linear	profile_isf	instantaneous	linear	31	3673	0.3624	0.9592	0.5968	60.00	53.69	rank_preserved	rank vs baseline rho=0.962, braking_ratio rho=-0.878 (baseline -0.711)
2026-04-25T02:14:33.298670+00:00	EXP-3002	pk_peak75_pp_isf_linear	profile_isf	oref0_exp_peak75	linear	31	3673	0.3624	0.4833	0.1209	60.00	3.30	destabilised	rank rho=0.309 <0.85 — PK kernel changes which patients are flagged
2026-04-25T02:15:29.075271+00:00	EXP-3003	oref0_peak75_sigmoid_s400_pp_isf	profile_isf	oref0_peak75	sigmoid_s400	31	3673	0.3624	0.9668	0.6044	240.00	102.03	recovers_signal	sigmoidal+PK retains rank rho=0.959, braking rho=-0.868
2026-04-25T02:18:19.087807+00:00	EXP-3005	realistic-canonical	profile_isf	oref0_exp_peak75	sigmoid_s400	31	3673	0.3624	0.9668	0.6044	240.00	102.03	autoresearch_score_0.6613	EXP-3005 candidate label=realistic-canonical; components={'protection_rank': 0.6015, 'obs_penalty': 0.3948, 'robustness_rho': np.float64(0.9594), 'braking_rho': np.float64(-0.8675), 'pop_obs_severe': 0.3624, 'pop_cf_severe': 0.9668, 'aid_protection': 0.6044, 'mean_isf_used': 70.25, 'mean_extra_drop': 102.03, 'n_patients': 31, 'n_events': 3673, 'config_name': 'realistic-canonical', 'isf_source': 'profile_isf', 'kernel': 'oref0_exp_peak75', 'duration_model': 'sigmoid_s400'}
2026-04-25T02:18:20.917703+00:00	EXP-3005	fast-acting-pk	profile_isf	oref0_exp_peak55	sigmoid_s400	31	3673	0.3624	0.9692	0.6069	240.00	137.66	autoresearch_score_0.6620	EXP-3005 candidate label=fast-acting-pk; components={'protection_rank': 0.6031, 'obs_penalty': 0.3948, 'robustness_rho': np.float64(0.9594), 'braking_rho': np.float64(-0.8694), 'pop_obs_severe': 0.3624, 'pop_cf_severe': 0.9692, 'aid_protection': 0.6069, 'mean_isf_used': 70.25, 'mean_extra_drop': 137.66, 'n_patients': 31, 'n_events': 3673, 'config_name': 'fast-acting-pk', 'isf_source': 'profile_isf', 'kernel': 'oref0_exp_peak55', 'duration_model': 'sigmoid_s400'}
2026-04-25T02:18:22.716454+00:00	EXP-3005	slow-acting-pk	profile_isf	oref0_exp_peak95	sigmoid_s400	31	3673	0.3624	0.9657	0.6033	240.00	77.33	autoresearch_score_0.6619	EXP-3005 candidate label=slow-acting-pk; components={'protection_rank': 0.6008, 'obs_penalty': 0.3948, 'robustness_rho': np.float64(0.9643), 'braking_rho': np.float64(-0.8675), 'pop_obs_severe': 0.3624, 'pop_cf_severe': 0.9657, 'aid_protection': 0.6033, 'mean_isf_used': 70.25, 'mean_extra_drop': 77.33, 'n_patients': 31, 'n_events': 3673, 'config_name': 'slow-acting-pk', 'isf_source': 'profile_isf', 'kernel': 'oref0_exp_peak95', 'duration_model': 'sigmoid_s400'}
2026-04-25T02:18:24.518376+00:00	EXP-3005	legacy-2889	profile_isf	instantaneous	linear	31	3673	0.3624	0.9592	0.5968	60.00	53.69	autoresearch_score_0.6670	EXP-3005 candidate label=legacy-2889; components={'protection_rank': 0.5963, 'obs_penalty': 0.3948, 'robustness_rho': np.float64(1.0), 'braking_rho': np.float64(-0.878), 'pop_obs_severe': 0.3624, 'pop_cf_severe': 0.9592, 'aid_protection': 0.5968, 'mean_isf_used': 70.25, 'mean_extra_drop': 53.69, 'n_patients': 31, 'n_events': 3673, 'config_name': 'legacy-2889', 'isf_source': 'profile_isf', 'kernel': 'instantaneous', 'duration_model': 'linear'}
2026-04-25T02:18:26.360095+00:00	EXP-3005	pop-isf-pk	population_isf	oref0_exp_peak75	sigmoid_s400	31	3673	0.3624	0.9627	0.6003	240.00	84.68	autoresearch_score_0.6625	EXP-3005 candidate label=pop-isf-pk; components={'protection_rank': 0.5993, 'obs_penalty': 0.3948, 'robustness_rho': np.float64(0.9706), 'braking_rho': np.float64(-0.8006), 'pop_obs_severe': 0.3624, 'pop_cf_severe': 0.9627, 'aid_protection': 0.6003, 'mean_isf_used': 50.0, 'mean_extra_drop': 84.68, 'n_patients': 31, 'n_events': 3673, 'config_name': 'pop-isf-pk', 'isf_source': 'population_isf', 'kernel': 'oref0_exp_peak75', 'duration_model': 'sigmoid_s400'}
2026-04-25T02:20:06.945145+00:00	EXP-3006	realistic_canonical_pheno	profile_isf	oref0_peak75	sigmoid_s400	1	408	0.3407	0.9926	0.6520	240.00	159.96	target_drift	archetype=aggressive_loop target_brake=0.05 emp_brake=0.035 nbrs=['e', 'ns-adde5f4af7ca', 'ns-dde9e7c2e752']
2026-04-25T02:20:07.218317+00:00	EXP-3006	realistic_canonical_pheno	profile_isf	oref0_peak75	sigmoid_s400	1	98	0.4490	1.0000	0.5510	240.00	76.28	target_drift	archetype=well_defended target_brake=0.07 emp_brake=0.113 nbrs=['d', 'f', 'ns-d444c120c23a']
2026-04-25T02:20:07.426895+00:00	EXP-3006	realistic_canonical_pheno	profile_isf	oref0_peak75	sigmoid_s400	1	230	0.4000	0.9174	0.5174	240.00	46.38	target_match	archetype=exposed_stacker target_brake=0.31 emp_brake=0.318 nbrs=['a', 'odc-74077367', 'odc-96254963']
2026-04-25T02:20:07.637435+00:00	EXP-3006	realistic_canonical_pheno	profile_isf	oref0_peak75	sigmoid_s400	1	417	0.3525	0.9784	0.6259	240.00	95.31	target_drift	archetype=conservative_trio target_brake=0.2 emp_brake=0.125 nbrs=['f', 'ns-6bef17b4c1ec', 'ns-d444c120c23a']
2026-04-26T04:34:37.631595+00:00	EXP-3004	ascent_cf_pk75	profile_isf	oref0_peak75	observed_ascent_window	31	17919	0.4668	0.4779	0.0111	36.58	1.95	capstone_confirmed	Loop overshoot 0.600 vs Trio 0.398; AAPS-oref0 protection abs 0.0006 (near-zero confirms no-SMB)
